capture_id,site,col,row,u,v,distance_m,pred_disp,lolo_scale,lolo_predicted_depth_m,abs_error_m,lolo_abs_rel
site-b-try-03,site-b,3,6,28.8125,53.9375,2.71158020597,213.317597628,0.00114243885889,4.10336688416,1.3917866782,0.513275128332
site-b-try-03,site-b,4,6,37.1875,53.9375,2.83012234375,212.767553091,0.00114243885889,4.11397486693,1.28385252318,0.453638524147
site-b-try-03,site-b,5,6,45.5625,53.9375,3.14531821517,212.408543348,0.00114243885889,4.12092824571,0.97561003054,0.310178482366
site-b-try-03,site-b,6,6,53.9375,53.9375,3.07885999345,212.491941452,0.00114243885889,4.11931087802,1.04045088457,0.337933808871
site-b-try-03,site-b,7,6,62.3125,53.9375,3.24079880822,213.428469181,0.00114243885889,4.10123527228,0.860436464065,0.265501351668
site-b-try-03,site-b,8,6,70.6875,53.9375,2.97126797484,215.051419497,0.00114243885889,4.07028406492,1.09901609008,0.369881175102
site-b-try-03,site-b,9,6,79.0625,53.9375,2.53769676969,216.538796902,0.00114243885889,4.0423258023,1.50462903261,0.592911277103
site-b-try-03,site-b,10,6,87.4375,53.9375,2.43050973926,217.261991978,0.00114243885889,4.02887020388,1.59836046462,0.657623558877
site-b-try-03,site-b,11,6,95.8125,53.9375,2.50479816329,216.873167753,0.00114243885889,4.03609342264,1.53129525935,0.611344770925
site-b-try-03,site-b,12,6,104.1875,53.9375,2.86139554551,216.408809185,0.00114243885889,4.04475385827,1.18335831276,0.413559850059
site-b-try-03,site-b,13,6,112.5625,53.9375,3.35840617635,216.595285416,0.00114243885889,4.04127155508,0.682865378733,0.203330193811
site-b-try-03,site-b,14,6,120.9375,53.9375,3.21443206457,217.85628581,0.00114243885889,4.01787978097,0.803447716395,0.249950131238
site-b-try-03,site-b,15,6,129.3125,53.9375,3.23134303545,217.670744896,0.00114243885889,4.02130459164,0.789961556184,0.244468491125
site-b-try-03,site-b,0,7,3.6875,62.3125,3.07801443788,259.231088161,0.00114243885889,3.37660259856,0.298588160684,0.0970067446758
site-b-try-03,site-b,1,7,12.0625,62.3125,2.94082260913,258.706851482,0.00114243885889,3.38344485621,0.442622247085,0.150509672264
site-b-try-03,site-b,2,7,20.4375,62.3125,2.82888387495,257.541333675,0.00114243885889,3.39875682642,0.569872951472,0.201447983255
site-b-try-03,site-b,3,7,28.8125,62.3125,2.91864201246,256.135827303,0.00114243885889,3.41740698727,0.498764974806,0.170889397424
site-b-try-03,site-b,4,7,37.1875,62.3125,3.03286734679,255.653762579,0.00114243885889,3.42385090321,0.390983556421,0.128915482187
site-b-try-03,site-b,5,7,45.5625,62.3125,3.0803008492,255.673577785,0.00114243885889,3.42358554801,0.34328469881,0.111445185265
site-b-try-03,site-b,6,7,53.9375,62.3125,3.0576262186,256.034339428,0.00114243885889,3.41876159218,0.361135373579,0.118109719031
site-b-try-03,site-b,7,7,62.3125,62.3125,3.0689634389,256.774929523,0.00114243885889,3.40890120207,0.339937763177,0.110766312452
site-b-try-03,site-b,8,7,70.6875,62.3125,3.06917187394,257.70761919,0.00114243885889,3.39656378288,0.327391908942,0.106671089919
site-b-try-03,site-b,9,7,79.0625,62.3125,3.00023666776,259.059120178,0.00114243885889,3.37884404654,0.378607378779,0.126192504361
site-b-try-03,site-b,10,7,87.4375,62.3125,2.97239931924,259.28168726,0.00114243885889,3.37594365096,0.403544331724,0.135763835334
site-b-try-03,site-b,11,7,95.8125,62.3125,2.98757136038,258.413870335,0.00114243885889,3.38728089472,0.399709534337,0.133790790619
site-b-try-03,site-b,12,7,104.1875,62.3125,3.04475247541,257.934871674,0.00114243885889,3.393571254,0.348818778589,0.114563919861
site-b-try-03,site-b,13,7,112.5625,62.3125,3.08679129622,257.8097229,0.00114243885889,3.39521859792,0.308427301698,0.0999184175735
site-b-try-03,site-b,14,7,120.9375,62.3125,3.05456560254,258.990056515,0.00114243885889,3.37974506703,0.325179464491,0.106456860583
site-b-try-03,site-b,15,7,129.3125,62.3125,3.05950785566,259.21487236,0.00114243885889,3.37681382995,0.317305974289,0.103711442905
site-c-try-02,site-c,2,3,20.4375,28.8125,19.364536117,59.5709524751,0.00124873820903,13.4429336604,5.92160245662,0.305796246336
site-c-try-02,site-c,2,4,20.4375,37.1875,19.1240880941,60.7623888254,0.00124873820903,13.1793429733,5.94474512074,0.310851167988
site-c-try-02,site-c,8,4,70.6875,37.1875,16.730431333,48.8772559166,0.00124873820903,16.384069588,0.34636174497,0.0207024994201
site-c-try-02,site-c,9,4,79.0625,37.1875,15.0604126661,36.9358837008,0.00124873820903,21.6810397362,6.62062707006,0.439604625506
site-c-try-02,site-c,10,4,87.4375,37.1875,15.1240122816,38.4215468764,0.00124873820903,20.8426892542,5.71867697253,0.378119037861
site-c-try-02,site-c,0,5,3.6875,45.5625,19.1774635935,58.4293776155,0.00124873820903,13.7055774833,5.47188611022,0.285328979171
