capture_id,site,col,row,u,v,status,distance_m,pred_disp,in_metric_range
site-a-try-04,site-a,13,4,112.5625,37.1875,hit,23.0775090927,86.0924719572,0
site-a-try-04,site-a,14,4,120.9375,37.1875,hit,36.3657958887,48.6144461036,0
site-a-try-04,site-a,15,4,129.3125,37.1875,hit,24.7831240042,52.3062283993,0
site-a-try-04,site-a,0,5,3.6875,45.5625,hit,14.7218698163,66.2617826462,1
site-a-try-04,site-a,1,5,12.0625,45.5625,hit,14.7882679778,67.7733197212,1
site-a-try-04,site-a,2,5,20.4375,45.5625,hit,21.5135831825,62.9487604499,0
site-a-try-04,site-a,3,5,28.8125,45.5625,hit,21.119441693,83.2925560474,0
site-a-try-04,site-a,4,5,37.1875,45.5625,hit,17.9423278197,87.8610413074,1
site-a-try-04,site-a,5,5,45.5625,45.5625,hit,17.9547013111,88.94333148,1
site-a-try-04,site-a,6,5,53.9375,45.5625,hit,12.9998327236,113.177874804,1
site-a-try-04,site-a,7,5,62.3125,45.5625,hit,8.58276323436,137.70896244,1
site-a-try-04,site-a,8,5,70.6875,45.5625,hit,8.074213184,146.580452204,1
site-a-try-04,site-a,9,5,79.0625,45.5625,hit,19.9678296772,68.9464923143,1
site-a-try-04,site-a,10,5,87.4375,45.5625,hit,10.7919614666,100.57482481,1
site-a-try-04,site-a,11,5,95.8125,45.5625,hit,12.6970050771,98.1560477018,1
site-a-try-04,site-a,12,5,104.1875,45.5625,hit,20.6728419648,84.9101734161,0
site-a-try-04,site-a,13,5,112.5625,45.5625,hit,20.9601948199,83.8179833889,0
site-a-try-04,site-a,14,5,120.9375,45.5625,hit,21.1947309942,66.8900498152,0
site-a-try-04,site-a,15,5,129.3125,45.5625,hit,14.7528570397,71.4027154446,1
site-a-try-04,site-a,0,6,3.6875,53.9375,hit,10.7822916123,91.4988207817,1
site-a-try-04,site-a,1,6,12.0625,53.9375,hit,11.0495832874,90.8739769459,1
site-a-try-04,site-a,2,6,20.4375,53.9375,hit,14.2624432211,90.499514699,1
site-a-try-04,site-a,3,6,28.8125,53.9375,hit,14.2028983173,91.6893808842,1
site-a-try-04,site-a,4,6,37.1875,53.9375,hit,14.1098236883,93.7681901455,1
site-a-try-04,site-a,5,6,45.5625,53.9375,hit,14.0013510986,95.4633568525,1
site-a-try-04,site-a,6,6,53.9375,53.9375,hit,13.8702387033,97.9393517971,1
site-a-try-04,site-a,7,6,62.3125,53.9375,hit,11.5184168894,115.382274151,1
site-a-try-04,site-a,8,6,70.6875,53.9375,hit,9.82154403236,124.642533302,1
site-a-try-04,site-a,9,6,79.0625,53.9375,hit,13.6426461584,93.3606722355,1
site-a-try-04,site-a,10,6,87.4375,53.9375,hit,13.6776157948,93.8849918842,1
site-a-try-04,site-a,11,6,95.8125,53.9375,hit,14.0489036101,93.6310670376,1
site-a-try-04,site-a,12,6,104.1875,53.9375,hit,14.064224757,93.8046364784,1
site-a-try-04,site-a,13,6,112.5625,53.9375,hit,14.0607951159,93.410490036,1
site-a-try-04,site-a,14,6,120.9375,53.9375,hit,14.1611402053,92.5293734074,1
site-a-try-04,site-a,15,6,129.3125,53.9375,hit,13.4392809761,91.7025005817,1
site-a-try-04,site-a,0,7,3.6875,62.3125,hit,12.0656245314,104.375540614,1
site-a-try-04,site-a,1,7,12.0625,62.3125,hit,12.0499516755,104.143031955,1
site-a-try-04,site-a,2,7,20.4375,62.3125,hit,12.0273781418,103.980535388,1
site-a-try-04,site-a,3,7,28.8125,62.3125,hit,12.011956083,104.35531354,1
site-a-try-04,site-a,4,7,37.1875,62.3125,hit,11.9953666953,105.363588929,1
site-a-try-04,site-a,5,7,45.5625,62.3125,hit,11.9839406144,106.895122409,1
site-a-try-04,site-a,6,7,53.9375,62.3125,hit,11.9792721256,108.638565421,1
site-a-try-04,site-a,7,7,62.3125,62.3125,hit,11.9820947477,109.344712615,1
site-a-try-04,site-a,8,7,70.6875,62.3125,hit,11.9919905451,109.335294724,1
site-a-try-04,site-a,9,7,79.0625,62.3125,hit,11.9880073759,108.924805284,1
site-a-try-04,site-a,10,7,87.4375,62.3125,hit,11.9740975275,107.477704525,1
site-a-try-04,site-a,11,7,95.8125,62.3125,hit,11.9738716074,106.097184777,1
site-a-try-04,site-a,12,7,104.1875,62.3125,hit,11.987441798,105.721639633,1
site-a-try-04,site-a,13,7,112.5625,62.3125,hit,12.0127603864,105.360240102,1
site-a-try-04,site-a,14,7,120.9375,62.3125,hit,12.0460875121,105.127700329,1
site-a-try-04,site-a,15,7,129.3125,62.3125,hit,12.0756453387,104.735003114,1
site-a-try-05,site-a,0,0,3.6875,3.6875,pole_excluded,,,0
site-a-try-05,site-a,1,0,12.0625,3.6875,pole_excluded,,,0
site-a-try-05,site-a,2,0,20.4375,3.6875,pole_excluded,,,0
site-a-try-05,site-a,3,0,28.8125,3.6875,pole_excluded,,,0
site-a-try-05,site-a,4,0,37.1875,3.6875,pole_excluded,,,0
site-a-try-05,site-a,5,0,45.5625,3.6875,pole_excluded,,,0
site-a-try-05,site-a,6,0,53.9375,3.6875,pole_excluded,,,0
site-a-try-05,site-a,7,0,62.3125,3.6875,pole_excluded,,,0
site-a-try-05,site-a,8,0,70.6875,3.6875,pole_excluded,,,0
site-a-try-05,site-a,9,0,79.0625,3.6875,pole_excluded,,,0
site-a-try-05,site-a,10,0,87.4375,3.6875,pole_excluded,,,0
site-a-try-05,site-a,11,0,95.8125,3.6875,pole_excluded,,,0
site-a-try-05,site-a,12,0,104.1875,3.6875,pole_excluded,,,0
site-a-try-05,site-a,13,0,112.5625,3.6875,pole_excluded,,,0
site-a-try-05,site-a,14,0,120.9375,3.6875,pole_excluded,,,0
site-a-try-05,site-a,15,0,129.3125,3.6875,pole_excluded,,,0
site-a-try-05,site-a,0,1,3.6875,12.0625,hit,43.019704782,55.8284856677,0
site-a-try-05,site-a,1,1,12.0625,12.0625,hit,35.0949810582,49.2603256702,0
site-a-try-05,site-a,2,1,20.4375,12.0625,hit,30.7373134122,89.5077875853,0
site-a-try-05,site-a,3,1,28.8125,12.0625,hit,34.0353998654,83.1444568634,0
site-a-try-05,site-a,4,1,37.1875,12.0625,hit,35.2395860773,80.8754754066,0
site-a-try-05,site-a,5,1,45.5625,12.0625,hit,26.506037694,82.0646928549,0
site-a-try-05,site-a,6,1,53.9375,12.0625,hit,30.5450730709,74.3119062185,0
site-a-try-05,site-a,7,1,62.3125,12.0625,no_hit,,,0
site-a-try-05,site-a,8,1,70.6875,12.0625,no_hit,,,0
site-a-try-05,site-a,9,1,79.0625,12.0625,no_hit,,,0
site-a-try-05,site-a,10,1,87.4375,12.0625,no_hit,,,0
site-a-try-05,site-a,11,1,95.8125,12.0625,no_hit,,,0
site-a-try-05,site-a,12,1,104.1875,12.0625,no_hit,,,0
site-a-try-05,site-a,13,1,112.5625,12.0625,no_hit,,,0
site-a-try-05,site-a,14,1,120.9375,12.0625,hit,40.6756595141,65.5873709917,0
site-a-try-05,site-a,15,1,129.3125,12.0625,hit,45.1203829824,59.6841309667,0
site-a-try-05,site-a,0,2,3.6875,20.4375,hit,27.9090011682,80.7824308872,0
site-a-try-05,site-a,1,2,12.0625,20.4375,hit,23.4990108562,75.121830821,0
site-a-try-05,site-a,2,2,20.4375,20.4375,hit,20.5375272591,123.003250718,0
site-a-try-05,site-a,3,2,28.8125,20.4375,hit,22.7930571819,116.030224681,0
site-a-try-05,site-a,4,2,37.1875,20.4375,hit,23.5451520447,112.73970747,0
site-a-try-05,site-a,5,2,45.5625,20.4375,hit,17.6464603636,111.545121551,1
site-a-try-05,site-a,6,2,53.9375,20.4375,hit,20.4395273413,92.2686781883,0
site-a-try-05,site-a,7,2,62.3125,20.4375,no_hit,,,0
site-a-try-05,site-a,8,2,70.6875,20.4375,no_hit,,,0
site-a-try-05,site-a,9,2,79.0625,20.4375,no_hit,,,0
site-a-try-05,site-a,10,2,87.4375,20.4375,no_hit,,,0
site-a-try-05,site-a,11,2,95.8125,20.4375,no_hit,,,0
site-a-try-05,site-a,12,2,104.1875,20.4375,no_hit,,,0
site-a-try-05,site-a,13,2,112.5625,20.4375,no_hit,,,0
site-a-try-05,site-a,14,2,120.9375,20.4375,hit,27.5497615296,88.236230135,0
site-a-try-05,site-a,15,2,129.3125,20.4375,hit,29.6758404219,81.4365804195,0
site-a-try-05,site-a,0,3,3.6875,28.8125,hit,23.6221734979,94.0311044455,0
site-a-try-05,site-a,1,3,12.0625,28.8125,hit,19.8271302606,91.5618978739,1
site-a-try-05,site-a,2,3,20.4375,28.8125,hit,17.4105430137,139.699145794,1
site-a-try-05,site-a,3,3,28.8125,28.8125,hit,19.3537110052,133.88098073,1
site-a-try-05,site-a,4,3,37.1875,28.8125,hit,19.0962443189,131.676700592,1
site-a-try-05,site-a,5,3,45.5625,28.8125,hit,15.0513799311,129.502771854,1
site-a-try-05,site-a,6,3,53.9375,28.8125,hit,17.3274063564,95.4382067919,1
site-a-try-05,site-a,7,3,62.3125,28.8125,no_hit,,,0
site-a-try-05,site-a,8,3,70.6875,28.8125,no_hit,,,0
site-a-try-05,site-a,9,3,79.0625,28.8125,no_hit,,,0
site-a-try-05,site-a,10,3,87.4375,28.8125,no_hit,,,0
site-a-try-05,site-a,11,3,95.8125,28.8125,no_hit,,,0
site-a-try-05,site-a,12,3,104.1875,28.8125,no_hit,,,0
site-a-try-05,site-a,13,3,112.5625,28.8125,hit,56.742332261,14.0268901885,0
site-a-try-05,site-a,14,3,120.9375,28.8125,hit,23.3077164135,102.099014521,0
site-a-try-05,site-a,15,3,129.3125,28.8125,hit,25.124210822,94.2463823557,0
site-a-try-05,site-a,0,4,3.6875,37.1875,hit,23.67272184,98.958540082,0
site-a-try-05,site-a,1,4,12.0625,37.1875,hit,19.9022463546,99.3606324196,1
site-a-try-05,site-a,2,4,20.4375,37.1875,hit,17.4103155595,143.200984478,1
site-a-try-05,site-a,3,4,28.8125,37.1875,hit,19.3188121782,140.405352354,1
site-a-try-05,site-a,4,4,37.1875,37.1875,hit,19.0947441368,138.260342121,1
site-a-try-05,site-a,5,4,45.5625,37.1875,hit,15.0952587832,137.272720814,1
site-a-try-05,site-a,6,4,53.9375,37.1875,hit,17.3236302758,79.4576114416,1
site-a-try-05,site-a,7,4,62.3125,37.1875,hit,21.0877043652,70.7579700947,0
site-a-try-05,site-a,8,4,70.6875,37.1875,hit,14.0166948565,75.4900509119,1
site-a-try-05,site-a,9,4,79.0625,37.1875,hit,13.1954153357,69.1642996073,1
